Projeto;Ementa;Palavras-chave;Promoventes
PL 229/2024;Institui rede de apoio para estudantes mães na Educação de Jovens e Adultos (EJA) nas escolas da Rede Pública de Ensino do Município de São Paulo.;ADOLESCENTE | APOIO | ATENDIMENTO | AULA | CENTRO INTEGRADO DE EDUCACAO DE JOVENS E ADULTOS | COMBATE | CRIANCA | DIREITO A EDUCACAO | DISPONIBILIDADE | EDUCACAO DE JOVENS E ADULTOS | ENSINO MUNICIPAL | ESCOLA MUNICIPAL | ESTUDO | EVASAO ESCOLAR | FILHO | HORARIO NOTURNO | MAE | MULHER | PROFESSOR DE EDUCACAO INFANTIL | PROFESSOR DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL I | RETOMADA | SECRETARIA MUNICIPAL DE EDUCACAO | SUGESTAO DO PARLAMENTO JOVEM;Ver. RICARDO TEIXEIRA (UNIÃO)
PL 228/2024;Dispõe sobre a obrigatoriedade das instituições educacionais pública e privada em conceder condições especiais para acesso e formação de pessoas portadores de deficiência intelectual, bem como, àquelas doenças conhecidas como neuroatípicas, denominada Lei Davi Vilarino, e fixa outras providências;ACESSO | APOIO | ASSISTENCIA PSICOLOGICA | ATIVIDADE EDUCATIVA | CARTAZ | CONTEUDO | DAVI VILARINO RICO GARCIA | DEFICIENCIA MENTAL | DEFICIENTE MENTAL | DESENVOLVIMENTO | DIREITO A EDUCACAO | DISPONIBILIDADE | DOENCA MENTAL | EDUCACAO | EDUCACAO INCLUSIVA | EDUCACAO INFANTIL | ENSINO ESPECIAL | ENSINO FUNDAMENTAL | ENSINO MEDIO | ENSINO MUNICIPAL | EQUIPAMENTOS | ESCOLA MUNICIPAL | ESCOLA PARTICULAR | ESCOLA PUBLICA | ESTABELECIMENTO DE ENSINO | GARANTIA | INCLUSAO | INFORMACAO | INSTITUICAO EDUCACIONAL | LEI DAVI VILARINO | NEURODIVERGENTES | OBRIGATORIEDADE | ORIENTACAO | PAIS ( GENITORES ) | PESSOA COM DEFICIENCIA | PLACA | RECURSOS TECNICOS | REUNIAO | SALA DE AULA | SALA MULTISSENSORIAL | UNIDADE EDUCACIONAL;Ver. EDIR SALES (PSD)Ver. THAMMY MIRANDA (PSD)
PL 227/2024;Altera e atualiza a Lei 14.181/2006, que regula o ensino religioso nas escolas públicas municipais de São Paulo, e dá outras providências.;ALTERACAO | AULA | CENTRO EDUCACIONAL UNIFICADO | CRENCA RELIGIOSA | EDUCACAO RELIGIOSA | ENSINO FUNDAMENTAL | ENSINO MUNICIPAL | ESCOLA MUNICIPAL | ESCOLA PUBLICA | ESTUDANTE | LEI 14.181/2006 | LIBERDADE RELIGIOSA | PALESTRA | RELIGIAO | SERVICO VOLUNTARIO | VOLUNTARIO;Ver. DR. NUNES PEIXEIRO (MDB)
PL 226/2024;Denomina-se como Rua Canaã dos Pássaros a rua inominada localizada no Jardim Marilda, São Paulo/SP.;CANAA DOS PASSAROS ( RUA ) | DENOMINACAO | JARDIM MARILDA | LOGRADOURO PUBLICO | PARELHEIROS ( DISTRITO ) | TADAO INOUE ( RUA );Ver. LUANA ALVES (PSOL)
PL 225/2024;Autoriza o poder executivo a ter um gerador em todas as unidades de saúde no município de São Paulo;EMPRESA DE ENERGIA ELETRICA | ENERGIA ELETRICA | GERADOR DE ENERGIA ELETRICA | MULTA | PRESTACAO DE SERVICO | RECURSOS FINANCEIROS | REDE PUBLICA DE SAUDE | UNIDADE DE SAUDE;Ver. RINALDI DIGILIO (UNIÃO)
PL 224/2024;"Altera a denominação da Rua Nair de Teffé, no distrito de Bom Retiro, para Rua São Degun Kim.""";ALTERACAO | BOM RETIRO ( DISTRITO ) | DENOMINACAO | LOGRADOURO PUBLICO | NAIR DE TEFFE ( RUA ) | SAO DEGUN KIM ( RUA );Ver. DRA. SANDRA TADEU (PL)
PL 223/2024;Fica denominada como Rua Purim o logradouro inominado localizado na quadra 085, setor 138, entre as Ruas Amanari e Rua Senador Amaral Furlan e dá outras providências;AMANARI ( RUA ) | AMARAL FURLAN ( RUA SENADOR ) | DENOMINACAO | ITAQUERA ( DISTRITO ) | JOSE BONIFACIO ( DISTRITO ) | LOGRADOURO PUBLICO | PURIM ( RUA );Ver. DRA. SANDRA TADEU (PL)
PL 222/2024;Altera o Mapa 5 e o Quadro 7, anexos à Lei nº 16.050, de 31 de julho de 2014, que aprova a Política de Desenvolvimento Urbano e o Plano Diretor Estratégico do Município de São Paulo e revoga a Lei nº 13.430/2002, revisada pela Lei nº 17.975, de 8 de julho de 2023, para incluir o Parque Municipal do Bixiga.;ALTERACAO | BELA VISTA ( DISTRITO ) | BIXIGA ( BAIRRO ) | BIXIGA ( PARQUE DO ) | IMPLANTACAO | INCLUSAO | LEI 16.050/2014 | LEI 17.975/2023 | PARQUE MUNICIPAL | PLANO DIRETOR DA CIDADE DE SAO PAULO | POLITICA DE DESENVOLVIMENTO URBANO | TERRITORIO DE INTERESSE DA CULTURA E DA PAISAGEM | TERRITORIO DE INTERESSE DA CULTURA E DA PAISAGEM BIXIGA;Executivo - RICARDO NUNES
PL 221/2024;Fica denominado Avenida do Progresso o logradouro inominado localizado no início da Estrada Vovó Carolina X Avenida do Progresso, Distrito de Iguatemi, Subprefeitura da São Mateus;AMPLIACAO | DENOMINACAO | IGUATEMI ( DISTRITO ) | LOGRADOURO PUBLICO | PROGRESSO ( AVENIDA DO ) | VOVO CAROLINA ( ESTRADA );Ver. MANOEL DEL RIO (PT)
PL 220/2024;"Altera a Lei nº 14.485, de 19 de julho de 2007, para incluir no Calendário Oficial de Eventos da Cidade de São Paulo o ""Dia dos Empreendedores Gastronômicos” (02 de setembro).";ALTERACAO | CALENDARIO OFICIAL DE EVENTOS | DATA COMEMORATIVA | DIA DOS EMPREENDEDORES GASTRONOMICOS | EMPREENDEDORISMO | EVENTOS | GASTRONOMIA | LEI 14.485/2007;Ver. RODRIGO GOULART (PSD)Ver. GILBERTO NASCIMENTO (PL)
PL 219/2024;Dispõe sobre a criação da Secretaria Municipal dos Direitos da Pessoa Idosa no município de São Paulo e dá outras providências;ASSISTENCIA AO IDOSO | COMPETENCIA | CRIACAO | FUNDO MUNICIPAL DO IDOSO | IDOSO | PARCERIA | POLITICAS PUBLICAS | QUALIDADE DE VIDA | SECRETARIA MUNICIPAL | SECRETARIA MUNICIPAL DOS DIREITOS DA PESSOA IDOSA;Ver. MANOEL DEL RIO (PT)
PL 218/2024;Altera a Lei nº 14.485, de 19 de julho de 2007, para incluir no Calendário Oficial de Eventos da Cidade de São Paulo a “Parada Municipal da Longevidade” , a ocorrer anualmente no último domingo do mês de março.;ALTERACAO | CALENDARIO OFICIAL DE EVENTOS | DATA COMEMORATIVA | EVENTOS | IDOSO | LEI 14.485/2007 | PARADA DA LONGEVIDADE;Ver. RODRIGO GOULART (PSD)Ver. THAMMY MIRANDA (PSD)
PL 217/2024;Dispõe sobre a concessão de área municipal localizada na RUA CAPITÃO JOÃO NORONHA, 208, BAIRRO DO MANDAQUI, São Paulo/SP, e dá outras providências.;AREA MUNICIPAL | ASSOCIACAO PIVI | ATIVIDADE ASSISTENCIAL | CONCESSAO DE USO | JOAO NORONHA ( RUA CAPITAO ) | MANDAQUI ( DISTRITO ) | PROGRAMA SOCIAL;Ver. MANOEL DEL RIO (PT)
PL 216/2024;Dispõe sobre a vacinação gratuita contra o HPV, Papiloma Vírus Humano, para meninas, mulheres e pessoas com útero na Rede Municipal de Saúde do Município e dá outras providências.;CAMPANHA EDUCATIVA | CANCER GINECOLOGICO | DIVULGACAO | DOENCA SEXUALMENTE TRANSMISSIVEL | GRATUIDADE | HPV | INFORMACAO | MULHER | POSTO DE SAUDE | PREVENCAO | REDE MUNICIPAL DE SAUDE | UNIDADE DE SAUDE | VACINA CONTRA HPV | VACINACAO;Ver. SILVIA DA BANCADA FEMINISTA (PSOL)
PL 215/2024;Denomina Travessa Sandra Rizzi o espaço inominado localizada entre a Avenida Tomas Rabelo e Silva e a Rua Antônio Genele – Jardim Monte Alegre e dá outras providências.;ANTONIO GENELE ( RUA ) | DENOMINACAO | FREGUESIA DO O ( DISTRITO ) | JARDIM MONTE ALEGRE | LOGRADOURO PUBLICO | SANDRA RIZZI ( TRAVESSA ) | TOMAS RABELO E SILVA ( AVENIDA ) | TRAVESSA;Ver. SANDRA SANTANA (MDB)
PL 214/2024;Altera a denominação do CEU Cidade Líder, localizado na Rua Camapu, n° 20, Jd santa Maria – Itaquera, São Paulo para CEU Jardim Santa Maria.;ALTERACAO | BENS MUNICIPAIS | CAMAPU ( RUA ) | CENTRO EDUCACIONAL UNIFICADO | CEU CIDADE LIDER | CEU JARDIM SANTA MARIA | CIDADE LIDER ( DISTRITO ) | DENOMINACAO | JARDIM SANTA MARIA;Ver. DRA. SANDRA TADEU (PL)
PL 213/2024;Denomina-se Travessa José Carlos Cavalin, o logradouro público inominado localizado no Distrito de Vila Prudente, Subprefeitura de Vila Prudente, e dá outras providências.;DENOMINACAO | ISABEL GARCIA ( RUA ) | JOSE CARLOS CAVALIN ( TRAVESSA ) | LOGRADOURO PUBLICO | TRAVESSA | VILA PRUDENTE ( DISTRITO );Ver. EDIR SALES (PSD)
PL 212/2024;Dispõe sobre a denominação da praça Laudelina Taveira Santos Cabral, espaço público inominado, na esquina da Rua Manuel Rodrigues Santiago com as Ruas Linária e Adelândia, CEP 08142-235, Jardim Laura e dá outras providências.;ADELANDIA ( RUA ) | DENOMINACAO | ITAIM PAULISTA ( DISTRITO ) | LAUDELINA TAVEIRA SANTOS CABRAL ( PRACA ) | LINARIA ( RUA ) | LOGRADOURO PUBLICO | MANUEL RODRIGUES SANTIAGO ( RUA ) | PRACA PUBLICA;Ver. RICARDO TEIXEIRA (UNIÃO)
PL 211/2024;Denomina Praça Helia Maria de Souza o espaço localizado entre as Ruas Estevão Fernandez, Rua Alberto Gentili, Rua Ricardo Dalton e Rua Dionísio Bellante e dá outras providências.;ALBERTO GENTILI ( RUA ) | ANHANGUERA ( DISTRITO ) | DENOMINACAO | DIONISIO BELLANTE ( RUA ) | ESTEVAO FERNANDES ( RUA ) | HELIA MARIA DE SOUSA GOMES ( PRACA ) | JARDIM SANTA FE | LOGRADOURO PUBLICO | PRACA PUBLICA | RICARDO DALTON ( RUA );Ver. SANDRA SANTANA (MDB)
PL 210/2024;Dispõe sobre a disponibilização de salas exclusivas para alunos autistas nas escolas da rede públicas do Município de São Paulo, na forma que especifica, e dá outras providências.;COMPROVACAO | DESIGNACAO | DISPONIBILIDADE | ESCOLA MUNICIPAL | ESCOLA PUBLICA | ESTABELECIMENTO DE ENSINO | ESTUDANTE | EXCLUSIVIDADE | LAUDO MEDICO | PESSOA COM DEFICIENCIA | PROFESSOR | SALA DE AULA | SEPARACAO | TRANSTORNO DO ESPECTRO AUTISTA;Ver. ISAC FÉLIX (PL)
PL 209/2024;Altera a Lei 17.827/2022 que dispõe sobre a estrutura, organização e funcionamento dos Conselhos Tutelares no Munícipio de São Paulo, e dá outras providências.;ADOLESCENTE | ALTERACAO | AVALIACAO | CANDIDATO | CIDADAO | COMISSAO | CONHECIMENTO | CONSELHO TUTELAR | CONTEUDO | CRIANCA | DIREITOS DA CRIANCA E DO ADOLESCENTE | DIREITOS POLITICOS | ELEICAO | ELIMINACAO | ESCOLHA | ESTATUTO DA CRIANCA E DO ADOLESCENTE | HABITACAO | LEGISLACAO | LEI 08.069/1990 ( FEDERAL ) | LEI 17.827/2022 | LOCALIZACAO | MEMBROS | MUNICIPE | PRAZO | PROVA | QUALIFICACAO;Ver. SANDRA SANTANA (MDB)
PL 208/2024;Dispõe sobre a prestação de assistência odontológica em regime de urgência e emergência na rede pública e privada do município de São Paulo e dá outras providências.;ASSISTENCIA ODONTOLOGICA | ATENDIMENTO VINTE E QUATRO HORAS | COORDENADORIA REGIONAL DE SAUDE | EMERGENCIA | PRONTO SOCORRO ODONTOLOGICO | REDE MUNICIPAL DE SAUDE | REDE PUBLICA DE SAUDE | SAUDE BUCAL | SECRETARIA MUNICIPAL DA SAUDE | UNIDADE DE SAUDE | URGENCIA;Ver. RODOLFO DESPACHANTE (UNIÃO)
PL 207/2024;Dispõe sobre a distribuição gratuita de abafador de ruído para as pessoas com hipersensibilidade no CRAS - Centro de Referência de Assistência Social.;CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL | DISTRIBUICAO GRATUITA | FONE ANTIRRUIDO | OUVIDO | PROTETOR AUDITIVO | RUIDO | SOM;Ver. LUANA ALVES (PSOL)
PL 206/2024;Estabelece que em locais de grande fluxo de pessoas haja dentre os funcionários, pessoas que saibam lidar com as crises de Transtorno do Espectro Autista - TEA e dá outras providências.;ATENDIMENTO | ATENDIMENTO DIFERENCIADO | ATENDIMENTO PUBLICO | CASA DE ESPETACULOS | CENTRO COMERCIAL | CINEMA | CONCENTRACAO POPULACIONAL | EMPREGADO | ESTADIO | HABILITACAO PROFISSIONAL | LOCAL PUBLICO | PESSOA COM DEFICIENCIA | PROPRIEDADE PARTICULAR | QUANTIDADE | SERVIDOR | TEATRO | TRANSTORNO DO ESPECTRO AUTISTA | TREINAMENTO | URGENCIA;Ver. RINALDI DIGILIO (UNIÃO)
PL 205/2024;Dispõe sobre o “Programa de Orientação e Requerimento da Isenção do Imposto Predial e Territorial Urbano (IPTU)”;ATENDIMENTO | CAMPANHA | CONTRIBUINTE | CRIACAO | DESCONTO | DIVULGACAO | INFORMACAO | IPTU | ISENCAO | MUTIRAO | ORIENTACAO | PROGRAMA DE ORIENTACAO E REQUERIMENTO DA ISENCAO DO IMPOSTO PREDIAL E TERRITORIAL URBANO ( IPTU ) | REQUERIMENTO | REQUISICAO | SECRETARIA MUNICIPAL DA FAZENDA | SOLICITACAO;Ver. PROFESSOR TONINHO VESPOLI (PSOL)
PL 204/2024;Institui e estabelece diretrizes para a implantação do Museu do Autódromo de Interlagos.;ACERVO | AUTODROMO DE INTERLAGOS | AUTOMOBILISMO | CORRIDA AUTOMOBILISTICA | CRIACAO | DEPOIMENTO | DOCUMENTO | FOTOGRAFIA | HISTORIA | MUSEU | MUSEU DO AUTODROMO DE INTERLAGOS | VIDEO;Ver. ARSELINO TATTO (PT)
PL 203/2024;Altera a Lei nº 14.485, de 19 de julho de 2007, para incluir a semana da imperatriz, a ser comemorado no mês de setembro, e dá outras providências.;ALTERACAO | ARTES | CALENDARIO OFICIAL DE EVENTOS | CULTURA BRASILEIRA | DATA COMEMORATIVA | EVENTOS | HISTORIA | IMPORTANCIA | LEI 14.485/2007 | MULHER | SEMANA DA IMPERATRIZ;Ver. AURÉLIO NOMURA (PSD)Ver. THAMMY MIRANDA (PSD)
PL 202/2024;Dispõe sobre a criação do Programa de Enfrentamento à Crise e Emergência Climática nas unidades educacionais da rede municipal de ensino.;ADAPTACAO | AR CONDICIONADO | ARBORIZACAO | ARQUITETURA | ATIVIDADE EDUCATIVA | ATIVIDADE PEDAGOGICA | CALOR | CAPACIDADE DE LOTACAO | CLASSE | CLIMA | CLIMATIZACAO | CONFORTO | DRENAGEM | EDIFICIO ESCOLAR | EMERGENCIA | ENSINO MUNICIPAL | ESCOLA MUNICIPAL | ESTADO DE EMERGENCIA CLIMATICA | ESTUDANTE | INFRAESTRUTURA | INSTALACAO | INSTALACOES | LIMITACAO | PROGRAMA DE ENFRENTAMENTO A CRISE E EMERGENCIA CLIMATICA NAS UNIDADES EDUCACIONAIS | QUADRA DE ESPORTES | QUANTIDADE | REDUCAO | SALA DE AULA | TELHADO | TEMPERATURA AMBIENTAL | TRATAMENTO ACUSTICO | UNIDADE EDUCACIONAL | VENTILACAO;Ver. CELSO GIANNAZI (PSOL)
